"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.216",5,-110,135,0,15.18
"result.217",6,-110,135,0,17.73
"result.218",7,-110,135,0,16.73
"result.219",8,-110,135,0,12.18
"result.220",9,-110,135,0,6.45
"result.221",5,-115,135,0,13.64
"result.222",6,-115,135,0,16.91
"result.223",7,-115,135,0,15.55
"result.224",8,-115,135,0,11.27
"result.225",9,-115,135,0,6.18
"result.226",5,-120,135,0,12.82
"result.227",6,-120,135,0,16.36
"result.228",7,-120,135,0,15.09
"result.229",8,-120,135,0,10.64
"result.230",9,-120,135,0,5.91
"result.231",5,-125,135,0,13.45
"result.232",6,-125,135,0,15
"result.233",7,-125,135,0,14.18
"result.234",8,-125,135,0,10.27
"result.235",9,-125,135,0,5.82
"result.236",5,-130,135,0,33.18
"result.237",6,-130,135,0,14
"result.238",7,-130,135,0,13.82
"result.239",8,-130,135,0,9.91
"result.240",9,-130,135,0,5.45
"result.241",5,-135,135,0,12.7
"result.242",6,-135,135,0,13
"result.243",7,-135,135,0,13.73
"result.244",8,-135,135,0,9.82
"result.245",9,-135,135,0,5
"result.246",5,-140,135,0,12.3
"result.247",6,-140,135,0,12.09
"result.248",7,-140,135,0,12.91
"result.249",8,-140,135,0,9
"result.250",9,-140,135,0,4.73
"result.251",5,-145,135,0,15.9
"result.252",6,-145,135,0,11.55
"result.253",7,-145,135,0,12.55
"result.254",8,-145,135,0,8.73
"result.255",9,-145,135,0,4.27
"result.256",5,-150,135,0,33.4
"result.257",6,-150,135,0,10.55
"result.258",7,-150,135,0,11.91
"result.259",8,-150,135,0,8.36
"result.260",9,-150,135,0,4.36
"result.261",5,-90,140,0,20
"result.262",6,-90,140,0,20.45
"result.263",7,-90,140,0,17.73
"result.264",8,-90,140,0,12.91
"result.265",9,-90,140,0,10.27
"result.266",5,-95,140,0,17.18
"result.267",6,-95,140,0,18.82
"result.268",7,-95,140,0,17.27
"result.269",8,-95,140,0,12.36
"result.270",9,-95,140,0,10.09
"result.271",5,-100,140,0,16.27
"result.272",6,-100,140,0,18.27
"result.273",7,-100,140,0,16
"result.274",8,-100,140,0,12.09
"result.275",9,-100,140,0,6.36
"result.276",5,-105,140,0,15.09
"result.277",6,-105,140,0,17.64
"result.278",7,-105,140,0,15.64
"result.279",8,-105,140,0,11.36
"result.280",9,-105,140,0,5.55
"result.281",5,-110,140,0,14.55
"result.282",6,-110,140,0,16.82
"result.283",7,-110,140,0,15.45
"result.284",8,-110,140,0,11
"result.285",9,-110,140,0,5.18
"result.286",5,-115,140,0,12.82
"result.287",6,-115,140,0,16
"result.288",7,-115,140,0,14.55
"result.289",8,-115,140,0,9.91
"result.290",9,-115,140,0,4.82
"result.291",5,-120,140,0,12.09
"result.292",6,-120,140,0,15.55
"result.293",7,-120,140,0,14.18
"result.294",8,-120,140,0,9.27
"result.295",9,-120,140,0,4.55
"result.296",5,-125,140,0,13.27
"result.297",6,-125,140,0,14
"result.298",7,-125,140,0,13.18
"result.299",8,-125,140,0,9
"result.300",9,-125,140,0,4.55
"result.301",5,-130,140,0,32.73
"result.302",6,-130,140,0,12.64
"result.303",7,-130,140,0,12.91
"result.304",8,-130,140,0,8.45
"result.305",9,-130,140,0,4.36
"result.306",5,-135,140,0,12
"result.307",6,-135,140,0,11.91
"result.308",7,-135,140,0,12.55
"result.309",8,-135,140,0,8.45
"result.310",9,-135,140,0,4.18
"result.311",5,-140,140,0,11.8
"result.312",6,-140,140,0,11
"result.313",7,-140,140,0,12
"result.314",8,-140,140,0,8
"result.315",9,-140,140,0,3.82
"result.316",5,-145,140,0,15.4
"result.317",6,-145,140,0,10.45
"result.318",7,-145,140,0,11.82
"result.319",8,-145,140,0,7.45
"result.320",9,-145,140,0,3.64
"result.321",5,-150,140,0,33.3
"result.322",6,-150,140,0,9.73
"result.323",7,-150,140,0,11
"result.324",8,-150,140,0,7.27
"result.325",9,-150,140,0,3.36
"result.326",5,-90,145,0,19
"result.327",6,-90,145,0,19.36
"result.328",7,-90,145,0,16.82
"result.329",8,-90,145,0,11.55
"result.330",9,-90,145,0,9.36
"result.331",5,-95,145,0,16.55
"result.332",6,-95,145,0,17.82
"result.333",7,-95,145,0,15.91
"result.334",8,-95,145,0,10.91
"result.335",9,-95,145,0,8.91
"result.336",5,-100,145,0,15.64
"result.337",6,-100,145,0,17.36
"result.338",7,-100,145,0,15.09
"result.339",8,-100,145,0,10.64
"result.340",9,-100,145,0,5.45
"result.341",5,-105,145,0,14.27
"result.342",6,-105,145,0,16.73
"result.343",7,-105,145,0,14.91
"result.344",8,-105,145,0,10.09
"result.345",9,-105,145,0,4.64
"result.346",5,-110,145,0,13.45
"result.347",6,-110,145,0,16.09
"result.348",7,-110,145,0,14.27
"result.349",8,-110,145,0,9.82
"result.350",9,-110,145,0,4.36
"result.351",5,-115,145,0,12
"result.352",6,-115,145,0,15.18
"result.353",7,-115,145,0,13.36
"result.354",8,-115,145,0,9
"result.355",9,-115,145,0,3.91
"result.356",5,-120,145,0,11.64
"result.357",6,-120,145,0,14.45
"result.358",7,-120,145,0,13.09
"result.359",8,-120,145,0,8.36
"result.360",9,-120,145,0,3.64
"result.361",5,-125,145,0,12.55
"result.362",6,-125,145,0,12.82
"result.363",7,-125,145,0,12.27
"result.364",8,-125,145,0,8.27
"result.365",9,-125,145,0,3.64
"result.366",5,-130,145,0,32.36
"result.367",6,-130,145,0,11.73
"result.368",7,-130,145,0,12.09
"result.369",8,-130,145,0,7.64
"result.370",9,-130,145,0,3.36
"result.371",5,-135,145,0,11.5
"result.372",6,-135,145,0,11.18
"result.373",7,-135,145,0,11.82
"result.374",8,-135,145,0,7.64
"result.375",9,-135,145,0,3.36
"result.376",5,-140,145,0,11.2
"result.377",6,-140,145,0,10.18
"result.378",7,-140,145,0,10.73
"result.379",8,-140,145,0,7.09
"result.380",9,-140,145,0,3.36
"result.381",5,-145,145,0,14.8
"result.382",6,-145,145,0,9.64
"result.383",7,-145,145,0,10.27
"result.384",8,-145,145,0,6.73
"result.385",9,-145,145,0,3
"result.386",5,-150,145,0,33.3
"result.387",6,-150,145,0,8.91
"result.388",7,-150,145,0,9.64
"result.389",8,-150,145,0,6.55
"result.390",9,-150,145,0,3
"result.391",5,-90,150,0,18
"result.392",6,-90,150,0,18.27
"result.393",7,-90,150,0,15.64
"result.394",8,-90,150,0,10.09
"result.395",9,-90,150,0,8.36
"result.396",5,-95,150,0,15.64
"result.397",6,-95,150,0,17.09
"result.398",7,-95,150,0,15
"result.399",8,-95,150,0,9.55
"result.400",9,-95,150,0,8.09
"result.401",5,-100,150,0,14.73
"result.402",6,-100,150,0,16.55
"result.403",7,-100,150,0,14.09
"result.404",8,-100,150,0,9.18
"result.405",9,-100,150,0,4.64
"result.406",5,-105,150,0,13.64
"result.407",6,-105,150,0,15.91
"result.408",7,-105,150,0,14
"result.409",8,-105,150,0,8.82
"result.410",9,-105,150,0,3.91
"result.411",5,-110,150,0,12.91
"result.412",6,-110,150,0,15.27
"result.413",7,-110,150,0,13.64
"result.414",8,-110,150,0,8.55
"result.415",9,-110,150,0,3.45
"result.416",5,-115,150,0,11.55
"result.417",6,-115,150,0,14.18
"result.418",7,-115,150,0,12.36
"result.419",8,-115,150,0,8.09
"result.420",9,-115,150,0,3.18
"result.421",5,-120,150,0,10.82
"result.422",6,-120,150,0,13.64
"result.423",7,-120,150,0,11.91
"result.424",8,-120,150,0,7.45
"result.425",9,-120,150,0,3
"result.426",5,-125,150,0,11.82
"result.427",6,-125,150,0,12
"result.428",7,-125,150,0,11.55
"result.429",8,-125,150,0,7.36
"result.430",9,-125,150,0,3
"result.431",5,-130,150,0,31.82
"result.432",6,-130,150,0,10.91
"result.433",7,-130,150,0,10.91
"result.434",8,-130,150,0,6.73
"result.435",9,-130,150,0,3
"result.436",5,-135,150,0,11.1
"result.437",6,-135,150,0,10.36
"result.438",7,-135,150,0,10.55
"result.439",8,-135,150,0,6.73
"result.440",9,-135,150,0,2.82
"result.441",5,-140,150,0,11.1
"result.442",6,-140,150,0,9.36
"result.443",7,-140,150,0,9.45
"result.444",8,-140,150,0,6.18
"result.445",9,-140,150,0,3
"result.446",5,-145,150,0,14.4
"result.447",6,-145,150,0,8.91
"result.448",7,-145,150,0,9.09
"result.449",8,-145,150,0,5.82
"result.450",9,-145,150,0,2.73
"result.451",5,-150,150,0,33
"result.452",6,-150,150,0,8.27
"result.453",7,-150,150,0,8.36
"result.454",8,-150,150,0,5.36
"result.455",9,-150,150,0,2.82
"result.456",5,-90,155,0,17
"result.457",6,-90,155,0,17.55
"result.458",7,-90,155,0,14.64
"result.459",8,-90,155,0,9
"result.460",9,-90,155,0,7.27
"result.461",5,-95,155,0,15.27
"result.462",6,-95,155,0,16.18
"result.463",7,-95,155,0,14.18
"result.464",8,-95,155,0,8.55
"result.465",9,-95,155,0,7.18
"result.466",5,-100,155,0,14
"result.467",6,-100,155,0,15.45
"result.468",7,-100,155,0,13.18
"result.469",8,-100,155,0,8.18
"result.470",9,-100,155,0,3.91
"result.471",5,-105,155,0,12.91
"result.472",6,-105,155,0,14.73
"result.473",7,-105,155,0,12.91
"result.474",8,-105,155,0,7.82
"result.475",9,-105,155,0,3.64
"result.476",5,-110,155,0,12.09
"result.477",6,-110,155,0,14.09
"result.478",7,-110,155,0,12.27
"result.479",8,-110,155,0,7.55
"result.480",9,-110,155,0,3.09
