"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
7,-127,122,0,29
8,-127,122,0,36
9,-127,122,0,42
5,-128,122,0,53
6,-128,122,0,24
7,-128,122,0,29
8,-128,122,0,40
9,-128,122,0,42
5,-129,122,0,53
6,-129,122,0,27
7,-129,122,0,29
8,-129,122,0,40
9,-129,122,0,42
5,-130,122,0,68
6,-130,122,0,28
7,-130,122,0,29
8,-130,122,0,40
9,-130,122,0,15
5,-131,122,0,145
6,-131,122,0,28
7,-131,122,0,29
8,-131,122,0,40
9,-131,122,0,15
5,-132,122,0,NA
6,-132,122,0,28
7,-132,122,0,30
8,-132,122,0,40
9,-132,122,0,15
5,-133,122,0,NA
6,-133,122,0,28
7,-133,122,0,30
8,-133,122,0,40
9,-133,122,0,15
5,-134,122,0,NA
6,-134,122,0,28
7,-134,122,0,30
8,-134,122,0,40
9,-134,122,0,25
5,-135,122,0,NA
6,-135,122,0,29
7,-135,122,0,30
8,-135,122,0,40
9,-135,122,0,25
5,-136,122,0,NA
6,-136,122,0,29
7,-136,122,0,30
8,-136,122,0,40
9,-136,122,0,26
5,-137,122,0,NA
6,-137,122,0,30
7,-137,122,0,30
8,-137,122,0,40
9,-137,122,0,26
5,-138,122,0,NA
6,-138,122,0,30
7,-138,122,0,30
8,-138,122,0,40
9,-138,122,0,26
5,-139,122,0,NA
6,-139,122,0,30
7,-139,122,0,30
8,-139,122,0,40
9,-139,122,0,26
5,-140,122,0,NA
6,-140,122,0,30
7,-140,122,0,30
8,-140,122,0,40
9,-140,122,0,28
5,-141,122,0,NA
6,-141,122,0,30
7,-141,122,0,30
8,-141,122,0,40
9,-141,122,0,28
5,-142,122,0,NA
6,-142,122,0,30
7,-142,122,0,30
8,-142,122,0,40
9,-142,122,0,28
5,-143,122,0,NA
6,-143,122,0,30
7,-143,122,0,31
8,-143,122,0,40
9,-143,122,0,33
5,-144,122,0,NA
6,-144,122,0,30
7,-144,122,0,31
8,-144,122,0,40
9,-144,122,0,33
5,-145,122,0,NA
6,-145,122,0,32
7,-145,122,0,31
8,-145,122,0,40
9,-145,122,0,46
5,-146,122,0,NA
6,-146,122,0,33
7,-146,122,0,31
8,-146,122,0,40
9,-146,122,0,50
5,-147,122,0,NA
6,-147,122,0,33
7,-147,122,0,31
8,-147,122,0,40
9,-147,122,0,50
5,-148,122,0,NA
6,-148,122,0,34
7,-148,122,0,31
8,-148,122,0,40
9,-148,122,0,50
5,-149,122,0,NA
6,-149,122,0,34
7,-149,122,0,32
8,-149,122,0,40
9,-149,122,0,51
