"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
8,-135,145,0,7.1
9,-135,145,0,3.9
5,-140,145,0,9.78
6,-140,145,0,9
7,-140,145,0,9.9
8,-140,145,0,6.7
9,-140,145,0,3.9
5,-145,145,0,13.89
6,-145,145,0,8.3
7,-145,145,0,9.3
8,-145,145,0,6.3
9,-145,145,0,3.5
5,-150,145,0,34.33
6,-150,145,0,7.5
7,-150,145,0,8.9
8,-150,145,0,6.1
9,-150,145,0,3.5
5,-90,150,0,16.5
6,-90,150,0,17.2
7,-90,150,0,15.1
8,-90,150,0,9.9
9,-90,150,0,9
5,-95,150,0,14.3
6,-95,150,0,15.9
7,-95,150,0,14.3
8,-95,150,0,9.2
9,-95,150,0,8.7
5,-100,150,0,13.2
6,-100,150,0,15.4
7,-100,150,0,13.3
8,-100,150,0,8.8
9,-100,150,0,4.9
5,-105,150,0,12
6,-105,150,0,14.7
7,-105,150,0,13.2
8,-105,150,0,8.4
9,-105,150,0,4.2
5,-110,150,0,11.1
6,-110,150,0,14.2
7,-110,150,0,12.7
8,-110,150,0,8.2
9,-110,150,0,3.9
5,-115,150,0,9.8
6,-115,150,0,13.4
7,-115,150,0,11.8
8,-115,150,0,7.6
9,-115,150,0,3.7
5,-120,150,0,9.3
6,-120,150,0,12.9
7,-120,150,0,11.3
8,-120,150,0,6.9
9,-120,150,0,3.7
5,-125,150,0,10.6
6,-125,150,0,11.1
7,-125,150,0,10.9
8,-125,150,0,6.8
9,-125,150,0,3.7
5,-130,150,0,32.6
6,-130,150,0,9.9
7,-130,150,0,10.2
8,-130,150,0,6.2
9,-130,150,0,3.7
5,-135,150,0,9.67
6,-135,150,0,9.4
7,-135,150,0,9.7
8,-135,150,0,6.2
9,-135,150,0,3.5
5,-140,150,0,9.67
6,-140,150,0,8.1
7,-140,150,0,8.6
8,-140,150,0,5.8
9,-140,150,0,3.7
5,-145,150,0,13.56
6,-145,150,0,7.6
7,-145,150,0,8.4
8,-145,150,0,5.5
9,-145,150,0,3.4
5,-150,150,0,34.22
6,-150,150,0,7
7,-150,150,0,7.8
8,-150,150,0,5
9,-150,150,0,3.5
5,-90,155,0,15.8
6,-90,155,0,16.4
7,-90,155,0,13.9
8,-90,155,0,8.7
9,-90,155,0,8.2
5,-95,155,0,13.9
6,-95,155,0,15.1
7,-95,155,0,13.3
8,-95,155,0,8.2
9,-95,155,0,8
5,-100,155,0,12.4
6,-100,155,0,14.7
7,-100,155,0,12.2
8,-100,155,0,7.8
9,-100,155,0,4.4
5,-105,155,0,11.3
6,-105,155,0,14
7,-105,155,0,12
8,-105,155,0,7.5
9,-105,155,0,4.1
5,-110,155,0,10.3
6,-110,155,0,13.4
7,-110,155,0,11.2
8,-110,155,0,7.2
9,-110,155,0,3.6
5,-115,155,0,8.8
6,-115,155,0,12.4
7,-115,155,0,10.4
8,-115,155,0,6.7
9,-115,155,0,3.6
5,-120,155,0,8.8
6,-120,155,0,12
7,-120,155,0,10.1
8,-120,155,0,5.8
9,-120,155,0,3.6
5,-125,155,0,10
6,-125,155,0,10.3
7,-125,155,0,9.5
8,-125,155,0,5.8
9,-125,155,0,3.6
5,-130,155,0,32.6
6,-130,155,0,8.8
7,-130,155,0,8.9
8,-130,155,0,5.4
9,-130,155,0,3.4
5,-135,155,0,8.89
6,-135,155,0,8.3
7,-135,155,0,8.6
8,-135,155,0,5.3
9,-135,155,0,3.4
5,-140,155,0,8.78
6,-140,155,0,7
7,-140,155,0,7.7
8,-140,155,0,5
9,-140,155,0,3.8
5,-145,155,0,13.22
6,-145,155,0,6.6
7,-145,155,0,7.5
8,-145,155,0,4.6
9,-145,155,0,3.3
5,-150,155,0,34.22
6,-150,155,0,6.2
7,-150,155,0,7.2
8,-150,155,0,4
9,-150,155,0,3.3
5,-90,160,0,15.2
6,-90,160,0,15.4
7,-90,160,0,12.8
8,-90,160,0,7.7
9,-90,160,0,8.2
5,-95,160,0,13
6,-95,160,0,14.1
7,-95,160,0,11.6
8,-95,160,0,7.2
9,-95,160,0,7.9
5,-100,160,0,11.5
6,-100,160,0,13.6
7,-100,160,0,10.8
8,-100,160,0,7
9,-100,160,0,4.6
5,-105,160,0,10.2
6,-105,160,0,13.1
7,-105,160,0,10.5
8,-105,160,0,6.6
9,-105,160,0,3.8
5,-110,160,0,9.4
6,-110,160,0,12.6
7,-110,160,0,9.8
8,-110,160,0,6.5
9,-110,160,0,3.6
5,-115,160,0,8.3
6,-115,160,0,11.8
7,-115,160,0,9.3
8,-115,160,0,5.9
9,-115,160,0,3.4
5,-120,160,0,8.4
6,-120,160,0,11.1
7,-120,160,0,8.9
8,-120,160,0,5.1
9,-120,160,0,3.5
5,-125,160,0,9.6
6,-125,160,0,9.2
7,-125,160,0,8.3
8,-125,160,0,4.8
9,-125,160,0,3.4
5,-130,160,0,32.1
6,-130,160,0,8
7,-130,160,0,7.9
8,-130,160,0,4.3
9,-130,160,0,3.4
5,-135,160,0,8.11
6,-135,160,0,7.4
7,-135,160,0,7.7
8,-135,160,0,4.3
9,-135,160,0,3.4
5,-140,160,0,8.67
6,-140,160,0,6
7,-140,160,0,7.1
8,-140,160,0,3.8
9,-140,160,0,3.5
5,-145,160,0,13.22
6,-145,160,0,5.9
7,-145,160,0,6.6
8,-145,160,0,3.6
9,-145,160,0,3
5,-150,160,0,33.89
6,-150,160,0,5.8
7,-150,160,0,6.1
8,-150,160,0,3.3
9,-150,160,0,2.9
5,-90,165,0,14.4
6,-90,165,0,14.6
7,-90,165,0,11.2
8,-90,165,0,6.9
9,-90,165,0,7.6
5,-95,165,0,12.2
6,-95,165,0,13.3
7,-95,165,0,10.2
8,-95,165,0,6.1
9,-95,165,0,7.2
5,-100,165,0,10.7
6,-100,165,0,13
7,-100,165,0,9.7
8,-100,165,0,5.9
9,-100,165,0,4.1
5,-105,165,0,9.5
6,-105,165,0,12.3
7,-105,165,0,9.5
8,-105,165,0,5.6
9,-105,165,0,3.6
5,-110,165,0,8.5
6,-110,165,0,12
7,-110,165,0,8.9
8,-110,165,0,5.3
9,-110,165,0,3.4
5,-115,165,0,8
6,-115,165,0,10.7
7,-115,165,0,8.5
8,-115,165,0,4.8
9,-115,165,0,3.3
5,-120,165,0,7.7
6,-120,165,0,9.9
7,-120,165,0,7.8
8,-120,165,0,4.3
9,-120,165,0,3.2
5,-125,165,0,9
6,-125,165,0,8.5
7,-125,165,0,7.4
8,-125,165,0,4.1
9,-125,165,0,3.4
5,-130,165,0,31.7
6,-130,165,0,7
7,-130,165,0,7
8,-130,165,0,3.5
9,-130,165,0,3.2
5,-135,165,0,7.67
6,-135,165,0,6.3
7,-135,165,0,6.8
8,-135,165,0,3.4
9,-135,165,0,3.3
5,-140,165,0,8.11
6,-140,165,0,5.6
7,-140,165,0,6.3
8,-140,165,0,3
9,-140,165,0,3.6
5,-145,165,0,13.22
6,-145,165,0,5.4
7,-145,165,0,5.8
8,-145,165,0,2.7
9,-145,165,0,3.4
5,-150,165,0,34
6,-150,165,0,5.3
7,-150,165,0,5.3
8,-150,165,0,2.7
