"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,32,24,16,10,143,0.378,0.919,0.139
"dart",0.1,128,48,32,10,331,0.321,0.933,0.121
"gbdt",0.1,128,48,32,10,102,0.316,0.935,0.118
"dart",0.01,128,48,32,10,213,0.532,0.886,0.189
"gbdt",0.01,128,48,32,10,160,0.406,0.905,0.166
"dart",0.1,64,48,32,10,223,0.329,0.929,0.119
"gbdt",0.1,64,48,32,10,64,0.336,0.927,0.129
"dart",0.01,64,48,32,10,173,0.541,0.884,0.176
"gbdt",0.01,64,48,32,10,136,0.42,0.904,0.164
"dart",0.1,32,48,32,10,196,0.341,0.929,0.127
"gbdt",0.1,32,48,32,10,91,0.339,0.926,0.124
"dart",0.01,32,48,32,10,102,0.547,0.894,0.166
"gbdt",0.01,32,48,32,10,153,0.411,0.907,0.158
"dart",0.1,128,24,32,10,102,0.319,0.929,0.123
"gbdt",0.1,128,24,32,10,48,0.312,0.934,0.118
"dart",0.01,128,24,32,10,260,0.474,0.908,0.149
"gbdt",0.01,128,24,32,10,226,0.339,0.925,0.126
"dart",0.1,64,24,32,10,149,0.318,0.932,0.121
"gbdt",0.1,64,24,32,10,47,0.319,0.932,0.121
"dart",0.01,64,24,32,10,150,0.512,0.906,0.157
"gbdt",0.01,64,24,32,10,155,0.366,0.92,0.135
"dart",0.1,32,24,32,10,97,0.328,0.926,0.118
"gbdt",0.1,32,24,32,10,46,0.332,0.925,0.122
"dart",0.01,32,24,32,10,280,0.473,0.907,0.152
"gbdt",0.01,32,24,32,10,320,0.336,0.924,0.123
"dart",0.1,128,48,64,10,150,0.339,0.927,0.13
"gbdt",0.1,128,48,64,10,74,0.33,0.926,0.126
"dart",0.01,128,48,64,10,270,0.508,0.893,0.179
"gbdt",0.01,128,48,64,10,139,0.414,0.908,0.166
"dart",0.1,64,48,64,10,142,0.361,0.92,0.14
"gbdt",0.1,64,48,64,10,99,0.328,0.93,0.13
"dart",0.01,64,48,64,10,179,0.535,0.884,0.188
"gbdt",0.01,64,48,64,10,148,0.41,0.91,0.167
"dart",0.1,32,48,64,10,269,0.33,0.93,0.131
