"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,125,60,64,20,21,0.634,0.73,0.379
"gbdt",0.1,255,24,128,20,40,0.515,0.805,0.273
"gbdt",0.01,255,24,128,20,21,0.621,0.776,0.379
"gbdt",0.1,500,24,128,20,32,0.516,0.805,0.271
"gbdt",0.01,500,24,128,20,21,0.625,0.75,0.379
"gbdt",0.1,125,24,128,20,38,0.503,0.813,0.266
"gbdt",0.01,125,24,128,20,21,0.623,0.764,0.379
"gbdt",0.1,255,48,128,20,55,0.505,0.808,0.274
"gbdt",0.01,255,48,128,20,21,0.632,0.742,0.379
"gbdt",0.1,500,48,128,20,48,0.507,0.805,0.283
"gbdt",0.01,500,48,128,20,21,0.63,0.748,0.379
"gbdt",0.1,125,48,128,20,50,0.521,0.793,0.295
"gbdt",0.01,125,48,128,20,21,0.631,0.746,0.379
"gbdt",0.1,255,60,128,20,53,0.51,0.801,0.287
"gbdt",0.01,255,60,128,20,21,0.634,0.739,0.379
"gbdt",0.1,500,60,128,20,43,0.509,0.803,0.278
"gbdt",0.01,500,60,128,20,21,0.633,0.736,0.379
"gbdt",0.1,125,60,128,20,69,0.511,0.804,0.275
"gbdt",0.01,125,60,128,20,21,0.634,0.734,0.379
