"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","val_score","test_score"
1,0.1,64,48,31,-1,0.526491228103435,0.548914670581984
2,0.1,64,48,31,-1,0.531841277792921,0.536989472737417
1,0.01,64,48,31,-1,0.533073705520073,0.560677268537473
2,0.01,64,48,31,-1,0.591800361710689,0.613101915585392
1,0.1,255,20,16,-1,0.523711286107876,0.561573832032419
2,0.1,255,20,16,-1,0.530609948816992,0.543408493651209
1,0.01,255,20,16,-1,0.536043102679979,0.575290694214328
2,0.01,255,20,16,-1,0.583068182478321,0.631216034643807
1,0.1,32,20,16,-1,0.520044580392969,0.556333642660943
2,0.1,32,20,16,-1,0.525667996888367,0.545452671552355
1,0.01,32,20,16,-1,0.525824670370245,0.562436042268784
2,0.01,32,20,16,-1,0.590717169377009,0.625948638242683
1,0.1,64,20,16,-1,0.524408621728707,0.556775089752483
2,0.1,64,20,16,-1,0.532270198016579,0.546541445702374
1,0.01,64,20,16,-1,0.534007516267016,0.57043631465869
2,0.01,64,20,16,-1,0.60271842087781,0.61695314085934
1,0.1,255,12,16,-1,0.541658443585391,0.565709017964037
2,0.1,255,12,16,-1,0.53794334338361,0.544516236260018
1,0.01,255,12,16,-1,0.540778641031369,0.573409879406204
2,0.01,255,12,16,-1,0.574375668726252,0.634937189355647
1,0.1,32,12,16,-1,0.528497161544685,0.553329912421557
2,0.1,32,12,16,-1,0.529632067174144,0.542161423383216
1,0.01,32,12,16,-1,0.529992146288431,0.560794397505653
2,0.01,32,12,16,-1,0.577479009499947,0.633298003275084
1,0.1,64,12,16,-1,0.536960090426313,0.556134364391515
2,0.1,64,12,16,-1,0.532084104179377,0.547302419868626
1,0.01,64,12,16,-1,0.538872909437362,0.571098328820112
2,0.01,64,12,16,-1,0.606484027813049,0.626068086877464
1,0.1,255,48,16,-1,0.526258803814116,0.571245360812728
2,0.1,255,48,16,-1,0.534949532840919,0.541483846430077
1,0.01,255,48,16,-1,0.529559373419779,0.580353491074882
