"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.001,125,40,10,6,0.671,0.897,0.404
"dart",0.1,75,40,10,19,0.353,0.929,0.127
"gbdt",0.1,75,40,10,15,0.337,0.932,0.127
"dart",0.01,75,40,10,6,0.641,0.899,0.404
"gbdt",0.01,75,40,10,6,0.64,0.899,0.404
"dart",0.001,75,40,10,6,0.672,0.899,0.404
"gbdt",0.001,75,40,10,6,0.672,0.896,0.404
"dart",0.1,250,40,10,14,0.377,0.93,0.135
"gbdt",0.1,250,40,10,16,0.335,0.93,0.129
"dart",0.01,250,40,10,6,0.64,0.901,0.404
"gbdt",0.01,250,40,10,6,0.641,0.908,0.404
"dart",0.001,250,40,10,6,0.672,0.9,0.404
"gbdt",0.001,250,40,10,6,0.672,0.89,0.404
"dart",0.1,255,10,20,18,0.38,0.919,0.137
"gbdt",0.1,255,10,20,18,0.345,0.927,0.135
"dart",0.01,255,10,20,6,0.645,0.896,0.404
"gbdt",0.01,255,10,20,6,0.645,0.897,0.404
"dart",0.001,255,10,20,6,0.673,0.889,0.404
"gbdt",0.001,255,10,20,6,0.672,0.889,0.404
"dart",0.1,25,10,20,15,0.396,0.92,0.139
"gbdt",0.1,25,10,20,13,0.381,0.916,0.137
"dart",0.01,25,10,20,6,0.645,0.893,0.404
"gbdt",0.01,25,10,20,6,0.645,0.885,0.404
"dart",0.001,25,10,20,6,0.672,0.895,0.404
"gbdt",0.001,25,10,20,6,0.672,0.89,0.404
"dart",0.1,15,10,20,18,0.382,0.914,0.131
"gbdt",0.1,15,10,20,29,0.317,0.925,0.135
"dart",0.01,15,10,20,6,0.645,0.891,0.404
"gbdt",0.01,15,10,20,6,0.645,0.888,0.404
"dart",0.001,15,10,20,6,0.672,0.884,0.404
"gbdt",0.001,15,10,20,6,0.673,0.884,0.404
"dart",0.1,125,10,20,18,0.375,0.921,0.134
"gbdt",0.1,125,10,20,13,0.374,0.923,0.135
"dart",0.01,125,10,20,6,0.644,0.902,0.404
"gbdt",0.01,125,10,20,6,0.647,0.888,0.404
"dart",0.001,125,10,20,6,0.672,0.893,0.404
"gbdt",0.001,125,10,20,6,0.672,0.891,0.404
"dart",0.1,75,10,20,18,0.376,0.922,0.135
"gbdt",0.1,75,10,20,27,0.318,0.93,0.137
"dart",0.01,75,10,20,6,0.645,0.896,0.404
"gbdt",0.01,75,10,20,6,0.645,0.898,0.404
"dart",0.001,75,10,20,6,0.672,0.892,0.404
"gbdt",0.001,75,10,20,6,0.672,0.891,0.404
"dart",0.1,250,10,20,14,0.401,0.923,0.137
"gbdt",0.1,250,10,20,23,0.327,0.926,0.136
"dart",0.01,250,10,20,6,0.645,0.89,0.404
"gbdt",0.01,250,10,20,6,0.645,0.898,0.404
"dart",0.001,250,10,20,6,0.672,0.89,0.404
"gbdt",0.001,250,10,20,6,0.672,0.888,0.404
"dart",0.1,255,15,20,18,0.368,0.924,0.133
"gbdt",0.1,255,15,20,40,0.299,0.932,0.124
"dart",0.01,255,15,20,6,0.643,0.905,0.404
"gbdt",0.01,255,15,20,6,0.643,0.907,0.404
"dart",0.001,255,15,20,6,0.671,0.908,0.404
"gbdt",0.001,255,15,20,6,0.672,0.9,0.404
"dart",0.1,25,15,20,13,0.403,0.926,0.13
"gbdt",0.1,25,15,20,29,0.309,0.928,0.124
"dart",0.01,25,15,20,6,0.644,0.902,0.404
"gbdt",0.01,25,15,20,6,0.643,0.903,0.404
