"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,1800,10,100,30,11,0.647,0.769,0.399
"gbdt",0.01,1800,10,100,30,11,0.642,0.781,0.399
"dart",0.1,500,10,100,30,27,0.504,0.825,0.267
"gbdt",0.1,500,10,100,30,27,0.49,0.834,0.262
"dart",0.01,500,10,100,30,11,0.645,0.791,0.399
"gbdt",0.01,500,10,100,30,11,0.643,0.778,0.399
"dart",0.1,125,10,100,30,48,0.49,0.833,0.263
"gbdt",0.1,125,10,100,30,26,0.474,0.845,0.236
"dart",0.01,125,10,100,30,11,0.647,0.78,0.399
"gbdt",0.01,125,10,100,30,11,0.64,0.787,0.399
