"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
8,-118,124,0,15.7
6,-119,124,0,19.4
7,-119,124,0,19.9
8,-119,124,0,15.5
6,-120,124,0,19.4
7,-120,124,0,19.8
8,-120,124,0,15.2
6,-121,124,0,19.3
7,-121,124,0,19.4
8,-121,124,0,15.1
6,-122,124,0,19.2
7,-122,124,0,19.1
8,-122,124,0,15.1
6,-123,124,0,18.8
7,-123,124,0,18.8
8,-123,124,0,15
6,-124,124,0,18.8
7,-124,124,0,18.8
8,-124,124,0,15
6,-125,124,0,18.4
7,-125,124,0,18.7
8,-125,124,0,14.9
6,-126,124,0,18.3
7,-126,124,0,18.6
8,-126,124,0,14.9
6,-127,124,0,17.5
7,-127,124,0,18.5
8,-127,124,0,14.9
6,-128,124,0,17.2
7,-128,124,0,18.3
8,-128,124,0,14.8
6,-129,124,0,17
7,-129,124,0,18.3
8,-129,124,0,14.6
6,-130,124,0,16.7
7,-130,124,0,17.7
8,-130,124,0,14.6
6,-131,124,0,16.5
7,-131,124,0,17.6
8,-131,124,0,14.4
6,-132,124,0,16.4
7,-132,124,0,17.5
8,-132,124,0,14.4
6,-133,124,0,16.2
7,-133,124,0,17.2
8,-133,124,0,14.4
6,-134,124,0,16.2
7,-134,124,0,17.1
8,-134,124,0,14.4
6,-135,124,0,16.2
7,-135,124,0,16.9
8,-135,124,0,14.4
6,-136,124,0,15.9
7,-136,124,0,16.9
8,-136,124,0,14.4
6,-137,124,0,15.7
7,-137,124,0,16.7
8,-137,124,0,14.4
6,-138,124,0,14.8
7,-138,124,0,16.6
8,-138,124,0,14.3
6,-139,124,0,14.5
7,-139,124,0,16.5
8,-139,124,0,14.2
6,-140,124,0,14.5
7,-140,124,0,16.4
8,-140,124,0,14.2
6,-95,125,0,24.9
7,-95,125,0,22.6
8,-95,125,0,18.2
6,-96,125,0,24.7
7,-96,125,0,22.5
8,-96,125,0,18
6,-97,125,0,24.5
7,-97,125,0,22.3
8,-97,125,0,17.8
6,-98,125,0,23.4
7,-98,125,0,22.3
8,-98,125,0,17.8
6,-99,125,0,23.4
7,-99,125,0,22.1
8,-99,125,0,17.7
6,-100,125,0,23.2
7,-100,125,0,22
8,-100,125,0,17.7
6,-101,125,0,23.2
7,-101,125,0,21.7
8,-101,125,0,17.7
6,-102,125,0,23.2
7,-102,125,0,21.7
8,-102,125,0,17.7
6,-103,125,0,23.1
7,-103,125,0,21.5
8,-103,125,0,17.3
6,-104,125,0,23.1
7,-104,125,0,21.5
8,-104,125,0,17.3
6,-105,125,0,22.9
7,-105,125,0,21.5
8,-105,125,0,17.2
6,-106,125,0,22.4
7,-106,125,0,21.4
8,-106,125,0,17.2
6,-107,125,0,22.2
7,-107,125,0,21.3
8,-107,125,0,17.1
6,-108,125,0,22.1
7,-108,125,0,21.3
8,-108,125,0,17.1
6,-109,125,0,21.6
7,-109,125,0,21.3
8,-109,125,0,16.9
6,-110,125,0,21.5
7,-110,125,0,21.2
8,-110,125,0,16.8
6,-111,125,0,21.4
7,-111,125,0,21.2
8,-111,125,0,16.7
6,-112,125,0,21.3
7,-112,125,0,21
8,-112,125,0,16.5
6,-113,125,0,21
7,-113,125,0,20.8
8,-113,125,0,16.4
6,-114,125,0,20.6
7,-114,125,0,20.6
8,-114,125,0,16.2
6,-115,125,0,20.6
7,-115,125,0,20.5
8,-115,125,0,16.2
6,-116,125,0,20.3
7,-116,125,0,20
8,-116,125,0,15.7
6,-117,125,0,20.1
7,-117,125,0,19.9
8,-117,125,0,15.7
6,-118,125,0,19.3
7,-118,125,0,19.9
8,-118,125,0,15.3
6,-119,125,0,19.3
7,-119,125,0,19.4
8,-119,125,0,15.1
6,-120,125,0,19.3
7,-120,125,0,19.4
8,-120,125,0,14.9
6,-121,125,0,19.2
7,-121,125,0,19.2
8,-121,125,0,14.8
6,-122,125,0,18.9
7,-122,125,0,18.8
8,-122,125,0,14.8
6,-123,125,0,18.5
7,-123,125,0,18.6
8,-123,125,0,14.8
6,-124,125,0,18.4
7,-124,125,0,18.6
8,-124,125,0,14.8
6,-125,125,0,18.1
7,-125,125,0,18.4
8,-125,125,0,14.7
6,-126,125,0,18
7,-126,125,0,18.4
8,-126,125,0,14.7
6,-127,125,0,17.4
7,-127,125,0,18.3
8,-127,125,0,14.6
6,-128,125,0,17.1
7,-128,125,0,18.2
8,-128,125,0,14.5
6,-129,125,0,16.9
7,-129,125,0,18.2
8,-129,125,0,14.3
6,-130,125,0,16.6
7,-130,125,0,17.5
8,-130,125,0,14.3
6,-131,125,0,16.3
7,-131,125,0,17.3
8,-131,125,0,14.3
6,-132,125,0,16.2
7,-132,125,0,17.2
8,-132,125,0,14.3
6,-133,125,0,16.2
7,-133,125,0,17
8,-133,125,0,14.3
6,-134,125,0,16.2
7,-134,125,0,16.9
8,-134,125,0,14
6,-135,125,0,16
7,-135,125,0,16.8
8,-135,125,0,14
6,-136,125,0,15.8
7,-136,125,0,16.8
8,-136,125,0,14
6,-137,125,0,15.7
7,-137,125,0,16.4
8,-137,125,0,13.9
6,-138,125,0,14.8
7,-138,125,0,16.2
8,-138,125,0,13.9
6,-139,125,0,14.3
7,-139,125,0,16.2
8,-139,125,0,13.7
6,-140,125,0,14.3
7,-140,125,0,16.1
8,-140,125,0,13.7
6,-95,126,0,24.7
7,-95,126,0,22.3
8,-95,126,0,18.2
6,-96,126,0,24.5
7,-96,126,0,22.2
8,-96,126,0,17.9
6,-97,126,0,24.2
7,-97,126,0,22.1
8,-97,126,0,17.6
6,-98,126,0,23.3
7,-98,126,0,22
8,-98,126,0,17.5
6,-99,126,0,23.3
7,-99,126,0,21.6
8,-99,126,0,17.3
6,-100,126,0,23.1
7,-100,126,0,21.4
8,-100,126,0,17.2
6,-101,126,0,23
7,-101,126,0,21.4
8,-101,126,0,17.2
6,-102,126,0,22.9
7,-102,126,0,21.4
8,-102,126,0,17.1
6,-103,126,0,22.7
7,-103,126,0,21.4
8,-103,126,0,17
6,-104,126,0,22.7
7,-104,126,0,21.4
8,-104,126,0,17
6,-105,126,0,22.5
7,-105,126,0,21.4
8,-105,126,0,16.9
6,-106,126,0,22.3
7,-106,126,0,21.2
8,-106,126,0,16.9
6,-107,126,0,22.2
7,-107,126,0,21.2
8,-107,126,0,16.8
6,-108,126,0,22
