"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
8,-107,127,0,16.3
6,-108,127,0,21.6
7,-108,127,0,21
8,-108,127,0,16.3
6,-109,127,0,21.2
7,-109,127,0,21
8,-109,127,0,16.1
6,-110,127,0,21.1
7,-110,127,0,21
8,-110,127,0,16.1
6,-111,127,0,20.9
7,-111,127,0,20.7
8,-111,127,0,16
6,-112,127,0,20.9
7,-112,127,0,20.4
8,-112,127,0,15.9
6,-113,127,0,20.5
7,-113,127,0,20.1
8,-113,127,0,15.4
6,-114,127,0,20.3
7,-114,127,0,19.9
8,-114,127,0,15.1
6,-115,127,0,20.2
7,-115,127,0,19.7
8,-115,127,0,15.1
6,-116,127,0,19.9
7,-116,127,0,19.2
8,-116,127,0,14.9
6,-117,127,0,19.7
7,-117,127,0,19.1
8,-117,127,0,14.8
6,-118,127,0,18.8
7,-118,127,0,18.9
8,-118,127,0,14.7
6,-119,127,0,18.8
7,-119,127,0,18.6
8,-119,127,0,14.7
6,-120,127,0,18.6
7,-120,127,0,18.6
8,-120,127,0,14.5
6,-121,127,0,18.4
7,-121,127,0,18.4
8,-121,127,0,14.4
6,-122,127,0,18.2
7,-122,127,0,18.2
8,-122,127,0,14.3
6,-123,127,0,17.9
7,-123,127,0,18
8,-123,127,0,14.2
6,-124,127,0,17.9
7,-124,127,0,17.9
8,-124,127,0,14.1
6,-125,127,0,17.8
7,-125,127,0,17.9
8,-125,127,0,14.1
6,-126,127,0,17.7
7,-126,127,0,17.9
8,-126,127,0,14.1
6,-127,127,0,17
7,-127,127,0,17.8
8,-127,127,0,14.1
6,-128,127,0,16.5
7,-128,127,0,17.6
8,-128,127,0,14.1
6,-129,127,0,16.5
7,-129,127,0,17.5
8,-129,127,0,14.1
6,-130,127,0,16.2
7,-130,127,0,16.8
8,-130,127,0,13.8
6,-131,127,0,16
7,-131,127,0,16.8
8,-131,127,0,13.6
6,-132,127,0,16
