"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",1e-04,75,51,20,6,0.677,0.815,0.408
"dart",0.1,25,51,20,30,0.434,0.881,0.194
"gbdt",0.1,25,51,20,17,0.44,0.876,0.197
"dart",0.01,25,51,20,960,0.392,0.902,0.162
"gbdt",0.01,25,51,20,6,0.644,0.845,0.408
"dart",0.001,25,51,20,999,0.571,0.841,0.186
"gbdt",0.001,25,51,20,6,0.674,0.81,0.408
"dart",1e-04,25,51,20,999,0.673,0.867,0.25
"gbdt",1e-04,25,51,20,6,0.68,0.798,0.408
"dart",0.1,255,71,20,22,0.469,0.857,0.212
"gbdt",0.1,255,71,20,13,0.446,0.864,0.192
"dart",0.01,255,71,20,738,0.445,0.876,0.183
"gbdt",0.01,255,71,20,6,0.644,0.879,0.408
"dart",0.001,255,71,20,990,0.578,0.85,0.217
"gbdt",0.001,255,71,20,6,0.673,0.812,0.408
"dart",1e-04,255,71,20,999,0.673,0.85,0.234
"gbdt",1e-04,255,71,20,6,0.677,0.81,0.408
"dart",0.1,300,71,20,32,0.429,0.894,0.181
"gbdt",0.1,300,71,20,7,0.479,0.844,0.2
"dart",0.01,300,71,20,704,0.458,0.857,0.199
"gbdt",0.01,300,71,20,6,0.642,0.871,0.408
"dart",0.001,300,71,20,999,0.579,0.838,0.214
"gbdt",0.001,300,71,20,6,0.674,0.806,0.408
"dart",1e-04,300,71,20,999,0.673,0.867,0.22
"gbdt",1e-04,300,71,20,6,0.677,0.815,0.408
"dart",0.1,125,71,20,25,0.479,0.852,0.225
"gbdt",0.1,125,71,20,9,0.469,0.856,0.205
"dart",0.01,125,71,20,585,0.475,0.85,0.197
"gbdt",0.01,125,71,20,6,0.647,0.829,0.408
"dart",0.001,125,71,20,999,0.575,0.848,0.205
"gbdt",0.001,125,71,20,6,0.675,0.822,0.408
"dart",1e-04,125,71,20,999,0.674,0.852,0.25
"gbdt",1e-04,125,71,20,6,0.681,0.817,0.408
"dart",0.1,75,71,20,26,0.451,0.872,0.208
"gbdt",0.1,75,71,20,7,0.488,0.843,0.209
"dart",0.01,75,71,20,607,0.457,0.875,0.197
"gbdt",0.01,75,71,20,6,0.645,0.858,0.408
"dart",0.001,75,71,20,999,0.578,0.846,0.211
"gbdt",0.001,75,71,20,6,0.674,0.845,0.408
"dart",1e-04,75,71,20,999,0.674,0.873,0.227
"gbdt",1e-04,75,71,20,6,0.676,0.812,0.408
"dart",0.1,25,71,20,42,0.418,0.882,0.178
"gbdt",0.1,25,71,20,9,0.467,0.854,0.206
"dart",0.01,25,71,20,636,0.448,0.868,0.194
"gbdt",0.01,25,71,20,6,0.645,0.842,0.408
"dart",0.001,25,71,20,999,0.58,0.842,0.219
"gbdt",0.001,25,71,20,6,0.675,0.817,0.408
"dart",1e-04,25,71,20,999,0.674,0.822,0.248
"gbdt",1e-04,25,71,20,6,0.677,0.816,0.408
"dart",0.1,255,31,15,52,0.391,0.902,0.183
"gbdt",0.1,255,31,15,14,0.41,0.9,0.177
"dart",0.01,255,31,15,916,0.368,0.91,0.162
"gbdt",0.01,255,31,15,6,0.646,0.849,0.408
"dart",0.001,255,31,15,999,0.574,0.853,0.191
"gbdt",0.001,255,31,15,6,0.675,0.811,0.408
"dart",1e-04,255,31,15,999,0.673,0.864,0.33
"gbdt",1e-04,255,31,15,6,0.677,0.82,0.408
"dart",0.1,300,31,15,56,0.372,0.909,0.161
"gbdt",0.1,300,31,15,13,0.4,0.905,0.166
"dart",0.01,300,31,15,724,0.409,0.899,0.191
"gbdt",0.01,300,31,15,6,0.645,0.875,0.408
"dart",0.001,300,31,15,999,0.569,0.88,0.181
"gbdt",0.001,300,31,15,6,0.674,0.842,0.408
"dart",1e-04,300,31,15,999,0.674,0.838,0.314
"gbdt",1e-04,300,31,15,6,0.678,0.837,0.408
"dart",0.1,125,31,15,40,0.383,0.907,0.155
"gbdt",0.1,125,31,15,18,0.404,0.888,0.173
"dart",0.01,125,31,15,1000,0.396,0.899,0.186
"gbdt",0.01,125,31,15,6,0.649,0.861,0.408
"dart",0.001,125,31,15,999,0.57,0.874,0.191
"gbdt",0.001,125,31,15,6,0.675,0.817,0.408
"dart",1e-04,125,31,15,999,0.673,0.848,0.308
"gbdt",1e-04,125,31,15,6,0.676,0.86,0.408
"dart",0.1,75,31,15,44,0.374,0.909,0.17
"gbdt",0.1,75,31,15,19,0.388,0.899,0.172
