"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,15,31,20,6,0.648,0.853,0.408
"dart",0.001,15,31,20,999,0.569,0.88,0.178
"gbdt",0.001,15,31,20,6,0.677,0.857,0.408
"dart",1,255,51,20,1,0.526,0.814,0.212
"gbdt",1,255,51,20,1,0.511,0.849,0.203
"dart",0.1,255,51,20,38,0.411,0.893,0.178
"gbdt",0.1,255,51,20,14,0.432,0.869,0.181
"dart",0.01,255,51,20,790,0.413,0.898,0.18
"gbdt",0.01,255,51,20,6,0.647,0.832,0.408
"dart",0.001,255,51,20,999,0.585,0.815,0.217
"gbdt",0.001,255,51,20,6,0.675,0.816,0.408
"dart",1,125,51,20,1,0.533,0.829,0.212
"gbdt",1,125,51,20,1,0.467,0.87,0.186
"dart",0.1,125,51,20,53,0.419,0.888,0.184
"gbdt",0.1,125,51,20,16,0.447,0.869,0.201
"dart",0.01,125,51,20,683,0.484,0.861,0.209
"gbdt",0.01,125,51,20,6,0.644,0.884,0.408
"dart",0.001,125,51,20,999,0.565,0.861,0.18
"gbdt",0.001,125,51,20,6,0.676,0.78,0.408
"dart",1,25,51,20,1,0.504,0.831,0.2
"gbdt",1,25,51,20,1,0.505,0.849,0.192
"dart",0.1,25,51,20,20,0.423,0.884,0.186
"gbdt",0.1,25,51,20,15,0.42,0.884,0.184
"dart",0.01,25,51,20,568,0.45,0.869,0.2
"gbdt",0.01,25,51,20,6,0.648,0.852,0.408
"dart",0.001,25,51,20,999,0.574,0.846,0.203
"gbdt",0.001,25,51,20,6,0.675,0.814,0.408
"dart",1,15,51,20,1,0.483,0.86,0.195
"gbdt",1,15,51,20,1,0.534,0.825,0.211
"dart",0.1,15,51,20,32,0.421,0.885,0.189
"gbdt",0.1,15,51,20,19,0.421,0.893,0.195
"dart",0.01,15,51,20,651,0.445,0.874,0.203
"gbdt",0.01,15,51,20,6,0.648,0.841,0.408
"dart",0.001,15,51,20,999,0.575,0.858,0.2
"gbdt",0.001,15,51,20,6,0.674,0.844,0.408
"dart",1,255,20,15,1,0.444,0.853,0.178
"gbdt",1,255,20,15,1,0.453,0.854,0.192
"dart",0.1,255,20,15,47,0.361,0.91,0.164
"gbdt",0.1,255,20,15,17,0.383,0.91,0.173
"dart",0.01,255,20,15,989,0.372,0.906,0.166
"gbdt",0.01,255,20,15,6,0.648,0.865,0.408
"dart",0.001,255,20,15,999,0.566,0.904,0.166
"gbdt",0.001,255,20,15,6,0.677,0.857,0.408
"dart",1,125,20,15,1,0.463,0.821,0.186
"gbdt",1,125,20,15,1,0.426,0.874,0.173
"dart",0.1,125,20,15,58,0.376,0.91,0.167
"gbdt",0.1,125,20,15,10,0.426,0.908,0.177
"dart",0.01,125,20,15,893,0.387,0.901,0.183
"gbdt",0.01,125,20,15,6,0.646,0.876,0.408
"dart",0.001,125,20,15,999,0.572,0.882,0.189
"gbdt",0.001,125,20,15,6,0.674,0.821,0.408
"dart",1,25,20,15,1,0.425,0.882,0.169
"gbdt",1,25,20,15,1,0.468,0.852,0.197
"dart",0.1,25,20,15,115,0.36,0.914,0.164
"gbdt",0.1,25,20,15,10,0.421,0.909,0.18
"dart",0.01,25,20,15,881,0.377,0.905,0.181
"gbdt",0.01,25,20,15,6,0.646,0.859,0.408
"dart",0.001,25,20,15,999,0.572,0.893,0.175
"gbdt",0.001,25,20,15,6,0.674,0.868,0.408
"dart",1,15,20,15,1,0.45,0.862,0.194
"gbdt",1,15,20,15,1,0.409,0.891,0.166
"dart",0.1,15,20,15,62,0.387,0.895,0.184
"gbdt",0.1,15,20,15,17,0.401,0.902,0.194
