"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,125,10,20,6,0.647,0.888,0.404
"dart",0.001,125,10,20,6,0.672,0.893,0.404
"gbdt",0.001,125,10,20,6,0.672,0.891,0.404
"dart",0.1,75,10,20,18,0.376,0.922,0.135
"gbdt",0.1,75,10,20,27,0.318,0.93,0.138
"dart",0.01,75,10,20,6,0.645,0.896,0.404
"gbdt",0.01,75,10,20,6,0.645,0.898,0.404
"dart",0.001,75,10,20,6,0.672,0.892,0.404
"gbdt",0.001,75,10,20,6,0.672,0.891,0.404
"dart",0.1,250,10,20,14,0.401,0.923,0.137
"gbdt",0.1,250,10,20,23,0.328,0.926,0.135
"dart",0.01,250,10,20,6,0.645,0.89,0.404
"gbdt",0.01,250,10,20,6,0.645,0.898,0.404
"dart",0.001,250,10,20,6,0.672,0.89,0.404
"gbdt",0.001,250,10,20,6,0.672,0.888,0.404
"dart",0.1,255,15,20,16,0.372,0.925,0.131
"gbdt",0.1,255,15,20,31,0.302,0.933,0.122
"dart",0.01,255,15,20,6,0.643,0.905,0.404
"gbdt",0.01,255,15,20,6,0.643,0.907,0.404
"dart",0.001,255,15,20,6,0.671,0.908,0.404
"gbdt",0.001,255,15,20,6,0.672,0.9,0.404
"dart",0.1,25,15,20,13,0.403,0.925,0.131
"gbdt",0.1,25,15,20,28,0.308,0.929,0.124
"dart",0.01,25,15,20,6,0.644,0.902,0.404
"gbdt",0.01,25,15,20,6,0.643,0.903,0.404
"dart",0.001,25,15,20,6,0.671,0.899,0.404
"gbdt",0.001,25,15,20,6,0.672,0.904,0.404
"dart",0.1,15,15,20,11,0.417,0.92,0.135
"gbdt",0.1,15,15,20,11,0.392,0.917,0.131
"dart",0.01,15,15,20,6,0.644,0.902,0.404
"gbdt",0.01,15,15,20,6,0.643,0.901,0.404
"dart",0.001,15,15,20,6,0.671,0.899,0.404
"gbdt",0.001,15,15,20,6,0.671,0.906,0.404
"dart",0.1,125,15,20,16,0.368,0.928,0.127
"gbdt",0.1,125,15,20,21,0.323,0.929,0.132
"dart",0.01,125,15,20,6,0.643,0.902,0.404
"gbdt",0.01,125,15,20,6,0.643,0.903,0.404
"dart",0.001,125,15,20,6,0.672,0.906,0.404
"gbdt",0.001,125,15,20,6,0.672,0.899,0.404
"dart",0.1,75,15,20,18,0.365,0.926,0.131
"gbdt",0.1,75,15,20,12,0.376,0.924,0.136
"dart",0.01,75,15,20,6,0.642,0.904,0.404
"gbdt",0.01,75,15,20,6,0.642,0.907,0.404
"dart",0.001,75,15,20,6,0.671,0.904,0.404
"gbdt",0.001,75,15,20,6,0.671,0.907,0.404
"dart",0.1,250,15,20,9,0.423,0.923,0.136
"gbdt",0.1,250,15,20,16,0.342,0.929,0.125
"dart",0.01,250,15,20,6,0.643,0.903,0.404
"gbdt",0.01,250,15,20,6,0.643,0.906,0.404
"dart",0.001,250,15,20,6,0.672,0.903,0.404
"gbdt",0.001,250,15,20,6,0.671,0.904,0.404
"dart",0.1,255,20,20,13,0.396,0.93,0.133
"gbdt",0.1,255,20,20,21,0.316,0.931,0.122
"dart",0.01,255,20,20,6,0.642,0.903,0.404
"gbdt",0.01,255,20,20,6,0.641,0.914,0.404
"dart",0.001,255,20,20,6,0.671,0.908,0.404
"gbdt",0.001,255,20,20,6,0.671,0.906,0.404
"dart",0.1,25,20,20,18,0.356,0.928,0.129
"gbdt",0.1,25,20,20,14,0.354,0.928,0.125
"dart",0.01,25,20,20,6,0.641,0.903,0.404
"gbdt",0.01,25,20,20,6,0.642,0.903,0.404
"dart",0.001,25,20,20,6,0.672,0.906,0.404
"gbdt",0.001,25,20,20,6,0.672,0.905,0.404
"dart",0.1,15,20,20,11,0.413,0.92,0.131
"gbdt",0.1,15,20,20,8,0.422,0.917,0.131
"dart",0.01,15,20,20,6,0.641,0.91,0.404
"gbdt",0.01,15,20,20,6,0.642,0.908,0.404
"dart",0.001,15,20,20,6,0.672,0.9,0.404
"gbdt",0.001,15,20,20,6,0.671,0.914,0.404
"dart",0.1,125,20,20,18,0.359,0.932,0.128
"gbdt",0.1,125,20,20,28,0.309,0.929,0.127
"dart",0.01,125,20,20,6,0.642,0.91,0.404
"gbdt",0.01,125,20,20,6,0.642,0.915,0.404
"dart",0.001,125,20,20,6,0.671,0.906,0.404
"gbdt",0.001,125,20,20,6,0.671,0.904,0.404
"dart",0.1,75,20,20,18,0.357,0.932,0.129
"gbdt",0.1,75,20,20,28,0.302,0.934,0.127
"dart",0.01,75,20,20,6,0.642,0.908,0.404
"gbdt",0.01,75,20,20,6,0.642,0.9,0.404
"dart",0.001,75,20,20,6,0.671,0.912,0.404
"gbdt",0.001,75,20,20,6,0.673,0.905,0.404
"dart",0.1,250,20,20,18,0.358,0.931,0.128
"gbdt",0.1,250,20,20,16,0.339,0.929,0.124
"dart",0.01,250,20,20,6,0.642,0.905,0.404
"gbdt",0.01,250,20,20,6,0.641,0.909,0.404
"dart",0.001,250,20,20,6,0.672,0.907,0.404
"gbdt",0.001,250,20,20,6,0.672,0.908,0.404
"dart",0.1,255,40,20,19,0.358,0.927,0.127
"gbdt",0.1,255,40,20,26,0.314,0.928,0.131
"dart",0.01,255,40,20,6,0.64,0.909,0.404
"gbdt",0.01,255,40,20,6,0.64,0.914,0.404
"dart",0.001,255,40,20,6,0.671,0.906,0.404
"gbdt",0.001,255,40,20,6,0.671,0.893,0.404
"dart",0.1,25,40,20,18,0.352,0.931,0.124
"gbdt",0.1,25,40,20,11,0.373,0.927,0.134
"dart",0.01,25,40,20,6,0.64,0.897,0.404
"gbdt",0.01,25,40,20,6,0.639,0.909,0.404
"dart",0.001,25,40,20,6,0.671,0.901,0.404
"gbdt",0.001,25,40,20,6,0.671,0.879,0.404
"dart",0.1,15,40,20,18,0.36,0.926,0.129
"gbdt",0.1,15,40,20,17,0.341,0.921,0.136
"dart",0.01,15,40,20,6,0.641,0.901,0.404
"gbdt",0.01,15,40,20,6,0.641,0.9,0.404
"dart",0.001,15,40,20,6,0.671,0.901,0.404
"gbdt",0.001,15,40,20,6,0.672,0.904,0.404
"dart",0.1,125,40,20,18,0.357,0.926,0.128
"gbdt",0.1,125,40,20,27,0.312,0.929,0.126
"dart",0.01,125,40,20,6,0.64,0.903,0.404
"gbdt",0.01,125,40,20,6,0.641,0.903,0.404
"dart",0.001,125,40,20,6,0.671,0.9,0.404
"gbdt",0.001,125,40,20,6,0.671,0.889,0.404
"dart",0.1,75,40,20,18,0.356,0.926,0.128
"gbdt",0.1,75,40,20,16,0.34,0.925,0.131
"dart",0.01,75,40,20,6,0.64,0.904,0.404
"gbdt",0.01,75,40,20,6,0.641,0.896,0.404
"dart",0.001,75,40,20,6,0.671,0.902,0.404
"gbdt",0.001,75,40,20,6,0.673,0.9,0.404
"dart",0.1,250,40,20,11,0.402,0.925,0.141
"gbdt",0.1,250,40,20,20,0.322,0.928,0.123
"dart",0.01,250,40,20,6,0.64,0.896,0.404
"gbdt",0.01,250,40,20,6,0.641,0.9,0.404
"dart",0.001,250,40,20,6,0.671,0.903,0.404
"gbdt",0.001,250,40,20,6,0.671,0.903,0.404
