id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
GME00121186,49.6669,12.1856,440,,WEIDEN,,10688,TMAX,1947,2022
GME00121210,48.5458,13.3544,476,,FURSTENZELL,,10895,TMAX,1997,2022
GME00121222,49.9475,7.2644,497,,HAHN,,,TMAX,1998,2022
GME00121246,50.0892,8.7864,119,,OFFENBACH-WETTERPARK,,10641,TMAX,2005,2022
GME00121258,51.7775,14.3183,69,,COTTBUS,,10496,TMAX,1888,2022
GME00121270,53.8731,8.7067,5,,CUXHAVEN,,10131,TMAX,1946,2022
GME00121282,54.1667,7.45,0,,UFS DEUTSCHE BUCHT,,,TMAX,1998,2022
GME00121306,51.6467,13.5767,97,,DOBERLUG-KIRCHHAIN,,,TMAX,1948,2022
GME00121354,51.0233,13.8494,114,,DRESDEN-HOSTERWITZ,,,TMAX,1949,2022
GME00121366,51.0253,13.7756,119,,DRESDEN-STREHLEN,,,TMAX,1936,2022
GME00121378,52.2183,12.165,80,,DREWITZ BEI BURG,,,TMAX,1993,2022
GME00121402,49.4728,8.1939,107,,BAD DURKHEIM,,,TMAX,1952,2022
GME00121510,48.1008,11.9883,592,,EBERSBERG-HALBING,,,TMAX,1978,2022
GME00121534,49.8531,10.5003,346,,EBRACH,,,TMAX,1963,2022
GME00121546,54.6294,9.3669,18,,EGGEBEK,,,PRCP,1979,2022
GME00121582,48.8789,11.2358,384,,EICHSTATT-LANDERSHOFEN,,,TMAX,1955,2022
GME00121654,48.9903,10.1317,460,,ELLWANGEN-RINDELBACH,,,TMAX,1941,2022
GME00121666,54.0708,9.0114,3,,ELPERSBUTTEL,,,TMAX,1998,2022
GME00121702,50.2717,12.2753,560,,BAD-SOHL ELSTER,,,TMAX,1948,2022
GME00121714,48.2019,8.1094,440,,ELZACH-FISNACHT,,,TMAX,1987,2022
GME00121750,48.1383,7.8356,201,,EMMENDINGEN-MUNDINGEN,,,TMAX,1975,2022
GME00121822,49.1675,8.8531,220,,EPPINGEN-ELSENZ,,,TMAX,2002,2022
GME00121834,47.8364,10.8719,756,,ALTENSTADT,,,PRCP,2001,2022
