"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,500,40,100,-1,11,0.633,0.899,0.407
"gbdt",0.01,500,40,100,-1,11,0.623,0.908,0.407
"dart",0.1,125,40,100,-1,27,0.367,0.927,0.138
"gbdt",0.1,125,40,100,-1,30,0.316,0.926,0.131
"dart",0.01,125,40,100,-1,11,0.632,0.909,0.407
"gbdt",0.01,125,40,100,-1,11,0.623,0.91,0.407
"dart",0.1,255,10,100,-1,36,0.32,0.932,0.128
"gbdt",0.1,255,10,100,-1,28,0.316,0.929,0.128
"dart",0.01,255,10,100,-1,11,0.627,0.907,0.407
"gbdt",0.01,255,10,100,-1,11,0.619,0.895,0.407
"dart",0.1,1800,10,100,-1,47,0.312,0.93,0.128
"gbdt",0.1,1800,10,100,-1,32,0.302,0.933,0.119
"dart",0.01,1800,10,100,-1,11,0.627,0.903,0.407
"gbdt",0.01,1800,10,100,-1,11,0.619,0.902,0.407
"dart",0.1,500,10,100,-1,54,0.312,0.928,0.128
"gbdt",0.1,500,10,100,-1,33,0.31,0.93,0.138
"dart",0.01,500,10,100,-1,11,0.628,0.901,0.407
"gbdt",0.01,500,10,100,-1,11,0.617,0.909,0.407
"dart",0.1,125,10,100,-1,36,0.325,0.931,0.128
"gbdt",0.1,125,10,100,-1,22,0.32,0.928,0.136
"dart",0.01,125,10,100,-1,11,0.628,0.905,0.407
"gbdt",0.01,125,10,100,-1,11,0.617,0.91,0.407
"dart",0.1,255,20,31,10,31,0.352,0.924,0.132
"gbdt",0.1,255,20,31,10,42,0.307,0.927,0.125
"dart",0.01,255,20,31,10,11,0.63,0.909,0.407
"gbdt",0.01,255,20,31,10,11,0.621,0.904,0.407
"dart",0.1,1800,20,31,10,34,0.348,0.922,0.135
"gbdt",0.1,1800,20,31,10,40,0.302,0.932,0.13
"dart",0.01,1800,20,31,10,11,0.631,0.898,0.407
"gbdt",0.01,1800,20,31,10,11,0.621,0.904,0.407
"dart",0.1,500,20,31,10,18,0.376,0.915,0.145
"gbdt",0.1,500,20,31,10,40,0.303,0.931,0.13
"dart",0.01,500,20,31,10,11,0.629,0.914,0.407
"gbdt",0.01,500,20,31,10,11,0.621,0.903,0.407
"dart",0.1,125,20,31,10,62,0.317,0.928,0.132
"gbdt",0.1,125,20,31,10,41,0.3,0.932,0.127
"dart",0.01,125,20,31,10,11,0.63,0.904,0.407
"gbdt",0.01,125,20,31,10,11,0.621,0.909,0.407
"dart",0.1,255,40,31,10,26,0.376,0.92,0.138
"gbdt",0.1,255,40,31,10,35,0.312,0.926,0.124
"dart",0.01,255,40,31,10,11,0.633,0.897,0.407
"gbdt",0.01,255,40,31,10,11,0.623,0.902,0.407
"dart",0.1,1800,40,31,10,40,0.339,0.922,0.136
"gbdt",0.1,1800,40,31,10,41,0.301,0.933,0.13
"dart",0.01,1800,40,31,10,11,0.633,0.898,0.407
"gbdt",0.01,1800,40,31,10,11,0.623,0.906,0.407
"dart",0.1,500,40,31,10,36,0.338,0.926,0.13
"gbdt",0.1,500,40,31,10,24,0.324,0.925,0.136
"dart",0.01,500,40,31,10,11,0.632,0.9,0.407
"gbdt",0.01,500,40,31,10,11,0.625,0.901,0.407
"dart",0.1,125,40,31,10,27,0.367,0.923,0.138
"gbdt",0.1,125,40,31,10,38,0.305,0.929,0.132
"dart",0.01,125,40,31,10,11,0.633,0.898,0.407
"gbdt",0.01,125,40,31,10,11,0.624,0.907,0.407
"dart",0.1,255,10,31,10,44,0.314,0.928,0.122
"gbdt",0.1,255,10,31,10,39,0.301,0.93,0.125
"dart",0.01,255,10,31,10,11,0.63,0.902,0.407
"gbdt",0.01,255,10,31,10,11,0.618,0.907,0.407
"dart",0.1,1800,10,31,10,36,0.319,0.929,0.121
"gbdt",0.1,1800,10,31,10,34,0.297,0.929,0.122
"dart",0.01,1800,10,31,10,11,0.628,0.908,0.407
"gbdt",0.01,1800,10,31,10,11,0.618,0.916,0.407
"dart",0.1,500,10,31,10,33,0.335,0.929,0.129
"gbdt",0.1,500,10,31,10,30,0.31,0.93,0.132
"dart",0.01,500,10,31,10,11,0.627,0.912,0.407
"gbdt",0.01,500,10,31,10,11,0.619,0.907,0.407
"dart",0.1,125,10,31,10,62,0.3,0.936,0.13
"gbdt",0.1,125,10,31,10,36,0.302,0.928,0.119
"dart",0.01,125,10,31,10,11,0.628,0.911,0.407
"gbdt",0.01,125,10,31,10,11,0.619,0.908,0.407
"dart",0.1,255,20,60,10,40,0.332,0.925,0.135
"gbdt",0.1,255,20,60,10,52,0.292,0.935,0.121
"dart",0.01,255,20,60,10,11,0.631,0.902,0.407
"gbdt",0.01,255,20,60,10,11,0.619,0.913,0.407
"dart",0.1,1800,20,60,10,27,0.365,0.92,0.137
"gbdt",0.1,1800,20,60,10,38,0.299,0.93,0.126
"dart",0.01,1800,20,60,10,11,0.63,0.904,0.407
"gbdt",0.01,1800,20,60,10,11,0.621,0.907,0.407
"dart",0.1,500,20,60,10,33,0.35,0.924,0.139
"gbdt",0.1,500,20,60,10,45,0.301,0.932,0.128
"dart",0.01,500,20,60,10,11,0.631,0.899,0.407
"gbdt",0.01,500,20,60,10,11,0.62,0.909,0.407
"dart",0.1,125,20,60,10,30,0.36,0.923,0.14
"gbdt",0.1,125,20,60,10,41,0.301,0.93,0.13
"dart",0.01,125,20,60,10,11,0.631,0.897,0.407
"gbdt",0.01,125,20,60,10,11,0.62,0.91,0.407
"dart",0.1,255,40,60,10,34,0.35,0.923,0.14
"gbdt",0.1,255,40,60,10,35,0.308,0.928,0.128
"dart",0.01,255,40,60,10,11,0.632,0.904,0.407
"gbdt",0.01,255,40,60,10,11,0.623,0.901,0.407
"dart",0.1,1800,40,60,10,27,0.37,0.922,0.141
"gbdt",0.1,1800,40,60,10,51,0.305,0.928,0.127
"dart",0.01,1800,40,60,10,11,0.632,0.904,0.407
"gbdt",0.01,1800,40,60,10,11,0.624,0.905,0.407
"dart",0.1,500,40,60,10,60,0.318,0.926,0.126
"gbdt",0.1,500,40,60,10,38,0.303,0.93,0.125
"dart",0.01,500,40,60,10,11,0.633,0.904,0.407
"gbdt",0.01,500,40,60,10,11,0.623,0.907,0.407
"dart",0.1,125,40,60,10,27,0.371,0.92,0.139
"gbdt",0.1,125,40,60,10,50,0.299,0.931,0.124
"dart",0.01,125,40,60,10,11,0.632,0.91,0.407
"gbdt",0.01,125,40,60,10,11,0.625,0.902,0.407
"dart",0.1,255,10,60,10,47,0.303,0.935,0.12
"gbdt",0.1,255,10,60,10,34,0.302,0.93,0.128
"dart",0.01,255,10,60,10,11,0.627,0.906,0.407
"gbdt",0.01,255,10,60,10,11,0.618,0.896,0.407
"dart",0.1,1800,10,60,10,50,0.307,0.934,0.124
"gbdt",0.1,1800,10,60,10,32,0.303,0.928,0.121
"dart",0.01,1800,10,60,10,11,0.63,0.896,0.407
"gbdt",0.01,1800,10,60,10,11,0.619,0.906,0.407
"dart",0.1,500,10,60,10,50,0.312,0.932,0.13
"gbdt",0.1,500,10,60,10,42,0.293,0.935,0.118
"dart",0.01,500,10,60,10,11,0.627,0.904,0.407
"gbdt",0.01,500,10,60,10,11,0.618,0.902,0.407
"dart",0.1,125,10,60,10,50,0.307,0.934,0.124
"gbdt",0.1,125,10,60,10,37,0.299,0.934,0.124
"dart",0.01,125,10,60,10,11,0.629,0.904,0.407
"gbdt",0.01,125,10,60,10,11,0.62,0.9,0.407
"dart",0.1,255,20,100,10,45,0.323,0.926,0.131
"gbdt",0.1,255,20,100,10,42,0.299,0.933,0.12
"dart",0.01,255,20,100,10,11,0.63,0.903,0.407
"gbdt",0.01,255,20,100,10,11,0.62,0.908,0.407
"dart",0.1,1800,20,100,10,47,0.322,0.928,0.129
"gbdt",0.1,1800,20,100,10,39,0.301,0.93,0.126
"dart",0.01,1800,20,100,10,11,0.63,0.905,0.407
"gbdt",0.01,1800,20,100,10,11,0.62,0.905,0.407
"dart",0.1,500,20,100,10,45,0.323,0.928,0.134
"gbdt",0.1,500,20,100,10,41,0.305,0.929,0.121
"dart",0.01,500,20,100,10,11,0.63,0.905,0.407
"gbdt",0.01,500,20,100,10,11,0.621,0.907,0.407
"dart",0.1,125,20,100,10,58,0.317,0.929,0.128
"gbdt",0.1,125,20,100,10,39,0.296,0.932,0.124
"dart",0.01,125,20,100,10,11,0.63,0.908,0.407
"gbdt",0.01,125,20,100,10,11,0.621,0.904,0.407
"dart",0.1,255,40,100,10,19,0.375,0.924,0.139
"gbdt",0.1,255,40,100,10,36,0.312,0.925,0.127
"dart",0.01,255,40,100,10,11,0.632,0.905,0.407
"gbdt",0.01,255,40,100,10,11,0.626,0.9,0.407
"dart",0.1,1800,40,100,10,47,0.327,0.926,0.133
"gbdt",0.1,1800,40,100,10,35,0.311,0.927,0.131
"dart",0.01,1800,40,100,10,11,0.633,0.906,0.407
"gbdt",0.01,1800,40,100,10,11,0.624,0.902,0.407
"dart",0.1,500,40,100,10,36,0.339,0.927,0.131
"gbdt",0.1,500,40,100,10,42,0.309,0.927,0.13
